eta,H_lambda_0.5,H_lambda_-1.0,H_lambda_-2.0,H_lambda_-2.5
0.000,-1.500000,-1.500000,-1.500000,-1.500000
0.100,-1.590145,-1.314585,-1.121254,-1.022653
0.200,-1.663244,-1.156041,-0.784312,-0.591420
0.300,-1.722645,-1.021174,-0.487747,-0.206768
0.400,-1.770996,-0.907108,-0.229735,0.131693
0.500,-1.810405,-0.811261,-0.008154,0.425065
0.600,-1.842560,-0.731324,0.179326,0.675022
0.700,-1.868820,-0.665238,0.335171,0.883691
0.800,-1.890281,-0.611168,0.461916,1.053538
0.900,-1.907829,-0.567490,0.562115,1.187278
1.000,-1.922185,-0.532764,0.638299,1.287786
1.100,-1.933933,-0.505719,0.692936,1.358026
1.200,-1.943551,-0.485239,0.728409,1.400988
1.300,-1.951427,-0.470342,0.746990,1.419636
1.400,-1.957878,-0.460168,0.750825,1.416862
1.500,-1.963162,-0.453966,0.741926,1.395454
1.600,-1.967491,-0.451085,0.722160,1.358063
1.700,-1.971038,-0.450955,0.693245,1.307186
1.800,-1.973944,-0.453086,0.656752,1.245148
1.900,-1.976326,-0.457054,0.614106,1.174094
2.000,-1.978278,-0.462495,0.566589,1.095977
2.100,-1.979878,-0.469096,0.515342,1.012565
2.200,-1.981190,-0.476591,0.461379,0.925437
2.300,-1.982264,-0.484754,0.405587,0.835986
2.400,-1.983146,-0.493392,0.348737,0.745431
2.500,-1.983868,-0.502345,0.291493,0.654821
2.600,-1.984460,-0.511477,0.234419,0.565049
2.700,-1.984945,-0.520678,0.177991,0.476857
2.800,-1.985343,-0.529855,0.122601,0.390856
2.900,-1.985669,-0.538933,0.068568,0.307534
3.000,-1.985936,-0.547850,0.016147,0.227268
3.100,-1.986155,-0.556560,-0.034466,0.150339
3.200,-1.986335,-0.565025,-0.083123,0.076943
3.300,-1.986482,-0.573216,-0.129722,0.007203
3.400,-1.986603,-0.581113,-0.174198,-0.058821
3.500,-1.986702,-0.588701,-0.216516,-0.121121
3.600,-1.986783,-0.595971,-0.256669,-0.179732
3.700,-1.986850,-0.602918,-0.294673,-0.234724
3.800,-1.986904,-0.609542,-0.330560,-0.286194
3.900,-1.986949,-0.615845,-0.364378,-0.334263
4.000,-1.986985,-0.621832,-0.396186,-0.379065
4.100,-1.987015,-0.627508,-0.426054,-0.420745
4.200,-1.987040,-0.632882,-0.454055,-0.459459
4.300,-1.987060,-0.637963,-0.480268,-0.495362
4.400,-1.987077,-0.642761,-0.504776,-0.528614
4.500,-1.987090,-0.647287,-0.527662,-0.559372
4.600,-1.987101,-0.651552,-0.549010,-0.587792
4.700,-1.987111,-0.655567,-0.568903,-0.614023
4.800,-1.987118,-0.659344,-0.587425,-0.638212
4.900,-1.987124,-0.662894,-0.604654,-0.660500
5.000,-1.987129,-0.666227,-0.620669,-0.681018
