K,S,lambda_c,maxF_eta,inv_2K,gap
0.05,0.5,-14.06,9.9986,10.0000,0.0014
0.05,1.0,-15.54,9.9988,10.0000,0.0012
0.05,1.5,-17.01,9.9990,10.0000,0.0010
0.05,2.0,-18.48,9.9999,10.0000,0.0001
0.05,2.5,-19.94,10.0000,10.0000,0.0000
0.10,0.5,-8.40,4.9990,5.0000,0.0010
0.10,1.0,-9.35,4.9991,5.0000,0.0009
0.10,1.5,-10.32,5.0000,5.0000,0.0000
0.10,2.0,-11.29,4.9993,5.0000,0.0007
0.10,2.5,-12.27,5.0000,5.0000,0.0000
0.20,0.5,-5.22,2.5000,2.5000,0.0000
0.20,1.0,-5.85,2.4992,2.5000,0.0008
0.20,1.5,-6.49,2.4993,2.5000,0.0007
0.20,2.0,-7.14,2.4994,2.5000,0.0006
