lambda,phi,beta,Pr_thnf,Sc_thnf,negthetap0,negphip0,energy_status,species_status
0.5,0.0,0.0,6.067389885807503,892.588506669341,9.604775006021312,1339.5477141399767,0,0
0.5,0.0,0.5,6.067389885807503,892.588506669341,9.604775006021312,1339.8804699126624,0,0
0.5,0.01,0.0,5.245229193277563,883.1187888200661,8.354909115800943,1325.3431190842825,0,0
0.5,0.01,0.5,5.245229193277563,883.1187888200661,8.354909115800943,1325.67586869984,0,0
0.5,0.03,0.0,4.150054997654469,911.895820110068,6.683453902194003,1368.5087204036383,0,0
0.5,0.03,0.5,4.150054997654469,911.895820110068,6.683453902194003,1368.841488335848,0,0
-1.0,0.0,0.0,6.067389885807503,892.588506669341,7.563415584417523,1337.548281053196,0,0
-1.0,0.0,0.5,6.067389885807503,892.588506669341,7.563415584417523,1337.8825307996024,0,0
-1.0,0.01,0.0,5.245229193277563,883.1187888200661,6.312727979283306,1323.3436919669634,0,0
-1.0,0.01,0.5,5.245229193277563,883.1187888200661,6.312727979283306,1323.6779515787039,0,0
-1.0,0.03,0.0,4.150054997654469,911.895820110068,4.6656567692519655,1366.5092755233131,0,0
-1.0,0.03,0.5,4.150054997654469,911.895820110068,4.6656567692519655,1366.8435057929626,0,0
-2.0,0.0,0.0,6.067389885807503,892.588506669341,0.004231489569508188,1336.2075272966892,0,0
-2.0,0.0,0.5,6.067389885807503,892.588506669341,0.004231489569508188,1336.5427903566963,0,0
-2.0,0.01,0.0,5.245229193277563,883.1187888200661,0.007800315079242283,1322.002857867326,0,0
-2.0,0.01,0.5,5.245229193277563,883.1187888200661,0.007800315079242283,1322.3381418509505,0,0
-2.0,0.03,0.0,4.150054997654469,911.895820110068,0.01719555564196025,1365.1686803560624,0,0
-2.0,0.03,0.5,4.150054997654469,911.895820110068,0.01719555564196025,1365.503902116847,0,0
